ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",770539,0,0.5886,0.3313,0.08,593722,0.6293,0.3707,0.0848,0.035,0.2174,0.0244,0.0081,
"2",770531,0,0.55,0.3704,0.0797,616048,0.7255,0.2745,0.1009,0.0348,0.0898,0.0411,0.0091,
"3",770527,0,0.424,0.4999,0.0761,593925,0.7836,0.2164,0.089,0.0253,0.051,0.0388,0.0116,
"4",770535,0,0.3564,0.5731,0.0705,557178,0.5678,0.4322,0.3434,0.0151,0.0259,0.0531,0.0038,
"5",770526,0,0.387,0.5268,0.0862,610022,0.8112,0.1888,0.0706,0.0266,0.0373,0.0434,0.0087,
"6",770523,0,0.5163,0.3971,0.0866,625068,0.7523,0.2477,0.0742,0.0484,0.0658,0.0489,0.0144,
"7",770521,0,0.8336,0.1102,0.0561,652826,0.645,0.355,0.0851,0.0598,0.1816,0.0245,0.0077,
"8",770512,0,0.4771,0.4447,0.0782,581338,0.7278,0.2722,0.0884,0.029,0.1123,0.0322,0.0096,
"9",770536,0,0.6873,0.2493,0.0634,602935,0.4438,0.5562,0.123,0.1327,0.2669,0.0277,0.0219,
"10",770531,0,0.5216,0.3908,0.0876,591627,0.6412,0.3588,0.1071,0.0906,0.1084,0.0401,0.0273,
"Summary",770528,0,0.543,0.3807,0.0763,602469,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
