ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",770668,0.0002,0.4899,0.4254,0.0847,606995,0.7784,0.2216,0.0926,0.021,0.055,0.0435,0.0079,
"2",770474,-0.0001,0.6399,0.2843,0.0758,603096,0.6321,0.3679,0.0928,0.0502,0.1907,0.0258,0.0098,
"3",770319,-0.0003,0.4451,0.4813,0.0736,584904,0.7159,0.2841,0.1552,0.0245,0.0502,0.047,0.0112,
"4",770731,0.0003,0.3484,0.576,0.0757,574553,0.6456,0.3544,0.2648,0.02,0.0346,0.0361,0.005,
"5",770479,-0.0001,0.3886,0.5285,0.0828,601450,0.7976,0.2024,0.0896,0.0225,0.0304,0.0488,0.008,
"6",770534,0,0.487,0.4252,0.0878,620008,0.7866,0.2134,0.0709,0.0278,0.0526,0.0514,0.0107,
"7",771043,0.0007,0.8579,0.0885,0.0535,656660,0.6004,0.3996,0.0787,0.0832,0.2127,0.0235,0.0072,
"8",770685,0.0002,0.615,0.3137,0.0713,589564,0.5739,0.4261,0.0751,0.0463,0.2775,0.0218,0.0078,
"9",770166,-0.0005,0.6032,0.322,0.0747,602738,0.5467,0.4533,0.1347,0.1169,0.1532,0.0365,0.0276,
"10",770182,-0.0004,0.455,0.4589,0.0862,584721,0.6594,0.3406,0.1037,0.0848,0.0986,0.0391,0.0275,
"Summary",770528,0.0011,0.543,0.3807,0.0763,602469,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
