ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",770327,-0.0003,0.4403,0.5281,0.0316,585185,0.6927,0.3073,0.207,0.0148,0.0348,0.0482,0.0058,
"2",770364,-0.0002,0.6412,0.3238,0.035,621710,0.7231,0.2769,0.0846,0.041,0.1015,0.0411,0.0113,
"3",770450,-0.0001,0.4496,0.5174,0.033,606344,0.8082,0.1918,0.0704,0.02,0.04,0.0492,0.0095,
"4",769986,-0.0007,0.4538,0.5131,0.0331,569138,0.6393,0.3607,0.2437,0.0239,0.0467,0.0435,0.009,
"5",771364,0.0011,0.4345,0.5293,0.0362,608981,0.8051,0.1949,0.0786,0.0265,0.0374,0.0419,0.0087,
"6",770553,0,0.7143,0.2547,0.031,602365,0.5931,0.4069,0.075,0.0397,0.2647,0.02,0.0068,
"7",770690,0.0002,0.8791,0.0965,0.0243,655227,0.6116,0.3884,0.0756,0.0765,0.2115,0.0228,0.0068,
"8",770834,0.0004,0.4496,0.5139,0.0365,586572,0.7523,0.2477,0.0872,0.0425,0.0648,0.0389,0.0169,
"9",770552,0,0.6682,0.3021,0.0297,587571,0.5162,0.4838,0.1224,0.0994,0.2243,0.0303,0.0194,
"10",770161,-0.0005,0.6379,0.3257,0.0364,601596,0.593,0.407,0.1163,0.1132,0.1282,0.0382,0.0285,
"Summary",770528,0.0018,0.5797,0.3877,0.0326,602469,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
