ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",760850,-0.0425,0.501,0.4836,0.0153,585309,0.5395,0.4605,0.1891,0.0321,0.0256,0.2212,0.0048,
"2",744478,-0.0631,0.5452,0.4389,0.0159,601689,0.631,0.369,0.2471,0.051,0.0444,0.0338,0.0047,
"3",777554,-0.0215,0.6279,0.3574,0.0146,574185,0.3003,0.6997,0.5791,0.0558,0.0293,0.0575,0.004,
"4",804323,0.0122,0.3059,0.68,0.0141,653215,0.7517,0.2483,0.1641,0.0242,0.0203,0.0373,0.0039,
"5",881025,0.1087,0.4194,0.5645,0.0161,658359,0.6994,0.3006,0.1613,0.0443,0.0693,0.0269,0.0054,
"6",785858,-0.011,0.4728,0.5138,0.0134,633208,0.721,0.279,0.1463,0.0412,0.0615,0.0311,0.0031,
"7",788332,-0.0079,0.7367,0.2473,0.0161,563046,0.2384,0.7616,0.5778,0.1201,0.0401,0.0512,0.0045,
"8",837250,0.0537,0.4139,0.5729,0.0133,654086,0.6911,0.3089,0.1822,0.0547,0.0485,0.0263,0.0043,
"9",771832,-0.0287,0.6079,0.3734,0.0187,618879,0.5752,0.4248,0.2378,0.0746,0.076,0.0463,0.0052,
"Summary",794611,0.1718,0.4939,0.4909,0.0152,615775,0.5807,0.4193,0.2688,0.0545,0.0465,0.0576,0.0044,
