ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",795456,0.0011,0.4898,0.4207,0.0895,620566,0.5458,0.4542,0.1863,0.0384,0.0382,0.1982,0.0045,
"2",794420,-0.0002,0.5138,0.4149,0.0714,648731,0.641,0.359,0.2382,0.0468,0.0482,0.0348,0.0039,
"3",793780,-0.001,0.5406,0.3927,0.0667,581141,0.3379,0.6621,0.5427,0.0558,0.0295,0.0529,0.0045,
"4",794192,-0.0005,0.264,0.6757,0.0603,647060,0.7803,0.2197,0.1343,0.0209,0.0214,0.0404,0.0038,
"5",794767,0.0002,0.3209,0.5987,0.0804,603569,0.6997,0.3003,0.1965,0.0395,0.0341,0.0305,0.0051,
"6",795169,0.0007,0.5286,0.3881,0.0833,637851,0.5809,0.4191,0.2411,0.0718,0.0727,0.043,0.0047,
"7",793697,-0.0012,0.5443,0.3809,0.0748,565502,0.3301,0.6699,0.5133,0.0887,0.0386,0.05,0.0059,
"8",795377,0.001,0.3619,0.5768,0.0613,643826,0.7793,0.2207,0.1051,0.034,0.0592,0.0202,0.003,
"9",794644,0,0.5423,0.3817,0.0759,593730,0.4735,0.5265,0.3148,0.1015,0.0755,0.0499,0.0047,
"Summary",794611,0.0022,0.4458,0.4808,0.0734,615775,0.5807,0.4193,0.2688,0.0545,0.0465,0.0576,0.0044,
