ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",759988,-0.0001,0.3823,0.5934,0.0243,595210,0.6978,0.3022,0.1534,0.0267,0.0719,0.0494,0.0069,
"2",760011,-0.0001,0.6581,0.3174,0.0245,611610,0.7063,0.2937,0.1536,0.0248,0.0549,0.0607,0.0055,
"3",760004,-0.0001,0.6448,0.3312,0.024,597116,0.4198,0.5802,0.277,0.1074,0.1752,0.0369,0.0143,
"4",760112,0.0001,0.5951,0.3798,0.0251,597434,0.5618,0.4382,0.1863,0.0767,0.14,0.0367,0.0137,
"5",760154,0.0001,0.6654,0.3097,0.0248,603069,0.6186,0.3814,0.2539,0.024,0.0662,0.0438,0.0071,
"6",759989,-0.0001,0.6191,0.3553,0.0256,585947,0.491,0.509,0.2053,0.1111,0.1671,0.0366,0.016,
"7",760001,-0.0001,0.6308,0.3471,0.0221,573789,0.3461,0.6539,0.2768,0.1199,0.2381,0.0339,0.0184,
"8",760106,0.0001,0.3542,0.6231,0.0227,572487,0.5455,0.4545,0.3119,0.0543,0.0558,0.0468,0.006,
"9",760133,0.0001,0.6205,0.3582,0.0213,556855,0.2873,0.7127,0.3571,0.1065,0.2382,0.0363,0.0137,
"10",760150,0.0001,0.6131,0.364,0.0229,572237,0.384,0.616,0.3346,0.054,0.204,0.0361,0.0149,
"11",760032,0,0.7409,0.2387,0.0204,597721,0.4637,0.5363,0.2105,0.0836,0.2252,0.0256,0.0084,
"12",760011,-0.0001,0.8559,0.1238,0.0203,664848,0.4205,0.5795,0.1398,0.0673,0.3591,0.0195,0.0076,
"13",760143,0.0001,0.8924,0.0868,0.0208,621347,0.353,0.647,0.2105,0.1792,0.2469,0.0305,0.0092,
"14",760002,-0.0001,0.7813,0.2001,0.0186,613566,0.3659,0.6341,0.2026,0.03,0.3834,0.0199,0.0141,
"15",760055,0,0.7248,0.2573,0.018,598586,0.1585,0.8415,0.2034,0.0474,0.5789,0.0207,0.0168,
"16",760172,0.0001,0.6235,0.3554,0.021,562989,0.2832,0.7168,0.6104,0.0317,0.0636,0.0503,0.0054,
"17",760052,0,0.7264,0.2507,0.0229,603436,0.4386,0.5614,0.2143,0.0346,0.2968,0.0267,0.0074,
