ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",765200,0.0001,0.3027,0.6748,0.0225,583150,0.6616,0.3384,0.0677,0.2369,0.0167,0.0195,0.0019,
"2",765202,0.0001,0.5535,0.4265,0.02,589213,0.4171,0.5829,0.0507,0.5022,0.0213,0.0149,0.0022,
"3",764842,-0.0004,0.5765,0.3814,0.042,583514,0.4407,0.5593,0.1242,0.2667,0.1597,0.0167,0.0014,
"4",765962,0.0011,0.5925,0.3856,0.0219,590419,0.3962,0.6038,0.0438,0.5353,0.0161,0.0155,0.0012,
"5",765374,0.0003,0.5648,0.4118,0.0234,577353,0.3483,0.6517,0.0824,0.5228,0.04,0.0184,0.0013,
"6",765574,0.0006,0.5751,0.3776,0.0473,620082,0.614,0.386,0.0752,0.2065,0.0915,0.0139,0.0014,
"7",765983,0.0011,0.5459,0.4174,0.0367,566888,0.3124,0.6876,0.2264,0.3105,0.1487,0.0219,0.0016,
"8",765660,0.0007,0.299,0.6797,0.0213,588223,0.6453,0.3547,0.0497,0.2675,0.0234,0.0164,0.0014,
"9",762254,-0.0038,0.1809,0.7876,0.0315,593312,0.8144,0.1856,0.1046,0.0388,0.0147,0.0291,0.001,
"10",765963,0.0011,0.298,0.6631,0.0389,579420,0.6677,0.3323,0.1364,0.1141,0.0621,0.0216,0.0012,
"11",765941,0.0011,0.5437,0.4161,0.0401,592948,0.4352,0.5648,0.1369,0.3645,0.0483,0.0211,0.0015,
"12",765297,0.0002,0.5491,0.4233,0.0277,590714,0.4725,0.5275,0.0633,0.4195,0.0325,0.0184,0.0032,
"13",764636,-0.0007,0.5826,0.3947,0.0228,583735,0.3908,0.6092,0.0486,0.5305,0.0213,0.0165,0.0013,
"14",764020,-0.0015,0.2315,0.7375,0.031,581303,0.7669,0.2331,0.061,0.1314,0.0151,0.0252,0.0011,
"Summary",765136,0.0049,0.4589,0.5105,0.0306,587162,0.5282,0.4718,0.0904,0.3173,0.0507,0.0192,0.0015,
