ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",765137,0,0.4264,0.5602,0.0134,589266,0.6041,0.3959,0.0678,0.2817,0.0299,0.02,0.0029,
"2",765137,0,0.5474,0.4436,0.0091,587555,0.4273,0.5727,0.0512,0.4929,0.0189,0.0154,0.0022,
"3",765136,0,0.3433,0.6444,0.0122,586319,0.6683,0.3317,0.0533,0.2332,0.0255,0.0209,0.0012,
"4",765135,0,0.7831,0.2059,0.011,589470,0.2825,0.7175,0.1012,0.5452,0.0674,0.017,0.0013,
"5",765137,0,0.8267,0.1614,0.0119,621515,0.3792,0.6208,0.0667,0.496,0.0539,0.0135,0.0014,
"6",765136,0,0.4185,0.5658,0.0157,574797,0.6663,0.3337,0.0911,0.0991,0.1227,0.0177,0.0013,
"7",765137,0,0.6227,0.3646,0.0126,566934,0.3278,0.6722,0.2127,0.2982,0.1585,0.0207,0.0016,
"8",765136,0,0.3567,0.633,0.0103,585857,0.6052,0.3948,0.061,0.3004,0.0203,0.0163,0.0014,
"9",765137,0,0.304,0.6831,0.0128,592520,0.6829,0.3171,0.1289,0.1042,0.0645,0.0236,0.0011,
"10",765135,0,0.3765,0.6106,0.0128,588874,0.662,0.338,0.0651,0.226,0.0281,0.0196,0.0012,
"11",765137,0,0.4155,0.5681,0.0165,595201,0.6399,0.3601,0.1122,0.1795,0.0452,0.023,0.0013,
"12",765136,0,0.4433,0.5448,0.0119,588119,0.5465,0.4535,0.0487,0.3672,0.0255,0.0167,0.0022,
"13",765137,0,0.797,0.1931,0.0099,574789,0.1882,0.8118,0.1052,0.6675,0.0383,0.0171,0.0013,
"14",765135,0,0.3067,0.6808,0.0126,579058,0.7133,0.2867,0.1058,0.1428,0.015,0.0276,0.0011,
"Summary",765136,0,0.4951,0.4925,0.0124,587162,0.5282,0.4718,0.0904,0.3173,0.0507,0.0192,0.0015,
